Wall time,Step,Value
1495005654.6014369,42,0.6953125
1495005654.6053393,45,0.75
1495005654.6415086,71,0.6796875
1495005654.6815906,94,0.7265625
1495005654.8223686,167,0.7421875
1495005654.9299052,229,0.8359375
1495005654.9367495,234,0.8671875
1495005654.971943,255,0.8125
1495005655.0042052,273,0.8125
1495005655.0697057,308,0.9296875
1495005655.071661,310,0.8359375
1495005655.087301,318,0.8125
1495005655.255451,421,0.96875
1495005655.483238,474,0.890625
1495005655.5839312,536,0.875
1495005655.655298,579,0.8359375
1495005655.670938,586,0.8125
1495005655.7589242,634,0.8671875
1495005655.7862978,647,0.796875
1495005655.818559,671,0.828125
1495005655.8713596,714,0.8515625
1495005655.881125,722,0.8828125
1495005655.9417386,771,0.859375
1495005655.9583676,785,0.8828125
1495005655.9788876,802,0.8125
1495005655.98574,808,0.828125
1495005656.0179927,836,0.8828125
1495005656.3699343,971,0.8203125
1495005656.4207797,1014,0.859375
1495005656.4823701,1066,0.84375
1495005656.5283077,1104,0.8046875
1495005656.6260796,1180,0.890625
1495005656.7248092,1261,0.8828125
1495005656.887092,1316,0.8359375
1495005656.891003,1319,0.84375
1495005656.907622,1333,0.90625
1495005656.912525,1337,0.8984375
1495005656.9731226,1385,0.90625
1495005656.983889,1392,0.8828125
1495005657.044489,1436,0.875
1495005657.082616,1466,0.875
1495005657.153981,1523,0.8671875
1495005657.1901524,1552,0.8359375
1495005657.2097192,1568,0.8359375
1495005657.230245,1584,0.859375
1495005657.3661246,1691,0.8828125
1495005657.4912596,1718,0.8671875
1495005657.5108104,1734,0.8671875
1495005657.5137546,1737,0.859375
1495005657.56458,1781,0.84375
1495005657.6408336,1844,0.90625
1495005657.670162,1866,0.8984375
1495005657.6848283,1877,0.8359375
1495005657.735664,1917,0.8828125
1495005657.7571704,1934,0.90625
1495005657.7737906,1947,0.84375
1495005657.8871927,2036,0.8515625
1495005657.9634488,2096,0.859375
1495005658.166792,2187,0.84375
1495005658.1804783,2199,0.8671875
1495005658.2176268,2231,0.8828125
1495005658.2244713,2237,0.8984375
1495005658.251846,2257,0.8984375
1495005658.2586868,2262,0.890625
1495005658.3310318,2307,0.8359375
1495005658.3554728,2319,0.9140625
1495005658.496248,2389,0.9140625
1495005658.5734806,2436,0.8984375
1495005658.6047637,2453,0.921875
1495005658.6076958,2455,0.90625
1495005658.6184494,2460,0.859375
1495005658.6555989,2485,0.90625
1495005658.656578,2486,0.9140625
1495005658.672218,2498,0.8984375
1495005658.679062,2503,0.8828125
1495005658.7210994,2532,0.9140625
1495005658.7426069,2547,0.890625
1495005658.7504282,2553,0.8671875
1495005659.001676,2685,0.875
1495005659.072065,2740,0.875
1495005659.254879,2896,0.8984375
1495005659.3379755,2967,0.90625
1495005659.5129676,3038,0.859375
1495005659.51688,3041,0.84375
1495005659.5872684,3099,0.875
1495005659.6693866,3161,0.8984375
1495005659.7554169,3230,0.8203125
1495005659.772036,3244,0.859375
1495005659.774969,3246,0.9375
1495005659.775948,3247,0.875
1495005659.8482912,3305,0.90625
1495005660.1748157,3480,0.8671875
1495005660.3507955,3618,0.8828125
1495005660.3537183,3620,0.9296875
1495005660.4113982,3670,0.8671875
1495005660.4984167,3741,0.90625
1495005660.559027,3793,0.890625
1495005660.5834582,3814,0.8671875
1495005660.5912883,3821,0.9375
1495005660.8122208,3928,0.8984375
1495005660.8454597,3956,0.9296875
1495005660.8816311,3984,0.921875
1495005660.9451854,4036,0.8515625
1495005661.017532,4098,0.8828125
1495005661.1338687,4196,0.859375
1495005661.170038,4227,0.8671875
1495005661.175903,4232,0.890625
1495005661.3684826,4317,0.8828125
1495005661.371417,4319,0.90625
1495005661.4682007,4400,0.8984375
1495005661.5825825,4492,0.8984375
1495005661.6021328,4509,0.8515625
1495005661.6275525,4530,0.875
1495005661.7888572,4664,0.8828125
1495005661.7937455,4668,0.8828125
1495005661.8025448,4676,0.84375
1495005662.034239,4788,0.8671875
1495005662.0518377,4802,0.8828125
1495005662.1036496,4840,0.890625
1495005662.1192935,4852,0.84375
1495005662.1711054,4894,0.9140625
1495005662.2620249,4971,0.8828125
1495005662.3529527,5050,0.8828125
1495005662.355877,5052,0.8671875
1495005662.4194212,5106,0.8984375
1495005662.4526591,5134,0.859375
1495005662.671646,5239,0.9375
1495005662.791893,5329,0.890625
1495005662.811444,5345,0.8515625
1495005662.8309963,5359,0.9140625
1495005662.9062724,5420,0.8984375
1495005663.024575,5517,0.90625
1495005663.0646477,5549,0.890625
1495005663.3139393,5679,0.90625
1495005663.3686957,5723,0.921875
1495005663.4693792,5808,0.921875
1495005663.4889324,5825,0.890625
1495005663.4928424,5828,0.890625
1495005663.5358584,5864,0.8828125
1495005663.54368,5871,0.8984375
1495005663.586693,5907,0.921875
1495005663.6111445,5928,0.90625
1495005663.6844547,5990,0.921875
1495005663.8007927,6010,0.8984375
1495005663.9405913,6121,0.90625
1495005663.9542775,6131,0.8828125
1495005664.0393403,6200,0.9375
1495005664.054971,6213,0.875
1495005664.0618148,6219,0.8828125
1495005664.0774572,6232,0.84375
1495005664.1449125,6289,0.921875
1495005664.1713083,6312,0.84375
1495005664.1771746,6317,0.9296875
1495005664.2465942,6376,0.9296875
1495005664.5105398,6520,0.8671875
1495005664.5799527,6574,0.8828125
1495005664.6151493,6603,0.859375
1495005664.6806557,6657,0.921875
1495005664.727572,6696,0.90625
1495005664.731483,6699,0.9609375
1495005664.745169,6711,0.8984375
1495005664.7832959,6742,0.8828125
1495005664.907466,6846,0.875
1495005664.917242,6854,0.8671875
1495005665.0276988,6869,0.8671875
1495005665.145992,6966,0.921875
1495005665.1802077,6992,0.90625
1495005665.2085595,7014,0.90625
1495005665.3209856,7106,0.84375
1495005665.332716,7114,0.8671875
1495005665.3806357,7155,0.890625
1495005665.4950001,7247,0.8671875
1495005665.6631496,7311,0.90625
1495005665.7227836,7359,0.859375
1495005665.7570016,7382,0.890625
1495005665.7892628,7401,0.875
1495005665.8821352,7450,0.9296875
1495005665.8977787,7460,0.921875
1495005665.9036427,7463,0.9140625
1495005665.9319937,7478,0.8828125
1495005665.9906614,7511,0.921875
1495005666.269271,7687,0.921875
1495005666.2780697,7693,0.9296875
1495005666.4853258,7760,0.8828125
1495005666.5273614,7788,0.875
1495005666.5449605,7798,0.90625
1495005666.601665,7833,0.890625
1495005666.725818,7900,0.9375
1495005666.7893631,7932,0.8515625
1495005666.891035,7991,0.8828125
1495005666.9350295,8026,0.9140625
1495005667.0005276,8066,0.9296875
1495005667.295768,8180,0.890625
1495005667.3593147,8215,0.90625
1495005667.3690994,8221,0.90625
1495005667.4971592,8290,0.8828125
1495005667.5714571,8334,0.8671875
1495005667.607628,8363,0.9140625
1495005667.6134949,8368,0.90625
1495005667.6242478,8377,0.8359375
1495005667.7356946,8467,0.9140625
1495005667.7396061,8470,0.90625
1495005667.7728548,8498,0.9296875
1495005667.785555,8508,0.9140625
1495005667.85692,8566,0.8984375
1495005667.9889078,8601,0.8671875
1495005668.0299582,8635,0.921875
1495005668.1023004,8695,0.890625
1495005668.2538419,8819,0.8828125
1495005668.352572,8878,0.9140625
1495005668.3936317,8904,0.859375
1495005668.4004762,8907,0.890625
1495005668.44349,8928,0.8828125
1495005668.4601092,8935,0.8828125
1495005668.5754664,8993,0.8828125
1495005668.5842667,8999,0.8984375
1495005668.7445943,9055,0.9140625
1495005668.9508817,9226,0.9140625
1495005668.9596806,9233,0.9140625
1495005668.9909544,9260,0.9296875
1495005669.0584195,9316,0.9453125
1495005669.0965369,9348,0.90625
1495005669.1718125,9412,0.9296875
1495005669.200174,9435,0.9296875
1495005669.3301868,9468,0.90625
1495005669.425015,9547,0.921875
1495005669.433813,9554,0.8984375
1495005669.450436,9567,0.9375
1495005669.5257096,9627,0.921875
1495005669.5599272,9657,0.8359375
1495005669.586332,9680,0.8984375
1495005669.6078293,9698,0.90625
1495005669.7769673,9843,0.921875
1495005669.9480438,9907,0.8984375
1495005670.134764,10058,0.859375
1495005670.1650805,10084,0.90625
1495005670.2980433,10168,0.90625
1495005670.4994168,10276,0.9140625
1495005670.5082133,10283,0.921875
